
YAL003W	0	0	0	0	0	0	0	1	1	0	0	0	
YAL004W	1	1	1	1	1	0	1	0	0	0	0	0	
YAL005C	0	1	1	1	1	0	0	0	0	0	0	0	
YAL007C	0	0	0	0	0	0	0	0	1	1	1	1	
YAL012W	0	0	0	0	0	0	0	1	1	1	1	1	
YAL017W	1	1	1	1	1	1	1	0	0	0	0	0	
YAL019W	0	0	0	0	0	0	0	1	1	1	0	1	
YAL022C	1	0	1	0	0	0	0	1	1	1	0	0	
YAL024C	0	0	0	0	0	0	0	0	1	1	1	1	
YAL025C	0	0	0	0	0	0	0	1	1	0	0	0	
YAL028W	0	1	1	1	1	1	1	0	0	0	0	0	
YAL029C	1	0	0	0	0	0	0	1	1	1	1	1	
YAL033W	1	0	0	0	0	0	0	1	1	1	1	1	
YAL034C	0	1	1	1	1	1	1	0	0	0	0	0	
YAL034W-A	1	1	0	0	0	0	0	0	1	1	1	1	
YAL035W	0	0	0	0	0	0	0	1	1	0	0	0	
YAL036C	0	0	0	0	0	0	1	1	1	0	0	0	
YAL038W	0	0	0	0	1	1	1	1	1	0	0	0	
YAL040C	0	0	0	0	0	0	0	1	1	1	0	0	
YAL049C	0	1	1	1	1	1	1	0	0	0	0	0	
YAL053W	0	0	0	0	0	1	1	1	1	0	0	0	
YAL054C	0	1	1	1	1	1	1	0	0	0	0	0	
YAL056W	0	1	1	1	1	1	1	0	0	0	0	0	
YAL058W	1	0	0	0	0	0	0	1	1	0	1	0	
YAL061W	1	1	1	1	1	1	1	0	0	0	0	0	
YAL062W	1	1	1	0	0	0	0	0	0	0	0	0	
YAR002C-A	1	0	0	0	0	0	0	0	1	1	1	1	
YAR003W	1	0	0	0	0	0	0	0	1	1	1	0	
YAR008W	1	0	0	0	0	0	0	0	1	1	1	1	
YAR014C	0	0	0	0	0	0	0	1	1	1	1	0	
YAR018C	1	1	1	1	1	0	0	0	0	0	0	0	
YAR031W	1	1	1	1	1	0	0	0	0	0	0	0	
YAR035W	1	1	1	0	0	0	0	0	0	0	0	0	
YAR073W	1	0	0	0	0	0	0	1	1	1	1	1	
YBL002W	1	1	0	0	0	0	0	0	0	1	1	1	
YBL003C	0	1	1	0	0	0	0	0	0	0	1	1	
YBL004W	0	0	0	0	0	0	0	1	1	0	0	1	
YBL006C	0	0	1	1	1	1	1	1	1	0	0	0	
YBL007C	0	1	1	1	1	1	0	0	0	0	0	0	
YBL008W	0	0	0	0	0	0	0	1	1	1	1	1	
YBL015W	1	0	0	0	0	0	0	0	0	0	1	1	
YBL021C	1	0	0	0	0	0	0	0	1	1	1	1	
YBL022C	1	1	0	0	0	0	0	0	0	1	1	1	
YBL023C	0	0	0	0	0	0	0	1	1	1	0	0	
YBL026W	0	0	0	0	1	1	0	0	1	1	1	1	
YBL029W	0	0	0	0	0	0	0	1	1	1	1	1	
YBL030C	1	1	0	0	0	0	0	0	0	0	1	1	
YBL032W	1	1	1	0	0	0	0	0	0	1	1	1	
YBL033C	0	1	1	1	1	1	1	1	0	0	0	0	
YBL034C	1	0	0	0	0	0	0	0	1	1	1	1	
YBL035C	0	0	0	0	0	0	0	0	1	1	1	1	
YBL036C	0	0	0	0	0	1	1	1	1	0	0	0	
YBL037W	1	1	1	0	0	0	0	0	0	1	1	1	
YBL038W	1	0	0	0	0	0	0	0	0	1	1	1	
YBL041W	0	1	1	1	1	1	1	0	0	0	0	0	
YBL043W	1	0	0	0	0	0	0	0	1	1	1	1	
YBL045C	1	1	1	1	0	0	0	0	0	0	1	1	
YBL047C	1	1	1	1	1	1	1	0	0	0	0	0	
