probeset	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12
YER167W	1.668688e+00	1.740959e+00	2.136208e+00	1.912606e+00	1.934931e+00	2.206963e+00	2.154311e+00	2.309302e+00	1.768967e+00	1.425797e+00	1.201200e+00	1.087480e+00	
YER178W	2.019290e+01	2.745529e+01	2.552353e+01	2.071738e+01	2.047210e+01	1.712880e+01	2.014596e+01	1.744786e+01	1.251883e+01	1.524005e+01	1.588225e+01	1.666281e+01	
YER179W	2.313247e-01	4.832446e-01	3.066689e-01	2.133151e-01	2.334253e-01	1.645290e-01	2.172555e-01	9.723409e-02	1.143834e-01	1.465295e-01	1.301696e-01	1.397743e-01	
YER182W	4.837047e+00	7.542169e+00	2.835934e+00	3.152758e+00	2.949767e+00	2.896979e+00	2.262894e+00	1.585327e+00	2.409682e+00	4.465135e+00	4.004927e+00	4.759547e+00	
YER188W	4.204804e-01	3.379741e-01	2.688966e-01	2.588146e-01	2.524907e-01	2.913362e-01	3.109410e-01	1.697662e-01	2.687473e-01	2.539165e-01	3.499631e-01	3.449269e-01	
YFL007W	4.802972e+00	6.738674e+00	7.490261e+00	8.025848e+00	8.135855e+00	8.055227e+00	8.873828e+00	5.330478e+00	2.278589e+00	2.432813e+00	2.377725e+00	2.324509e+00	
YFL008W	1.339223e+00	1.029581e+00	8.594573e-01	7.165838e-01	6.544539e-01	7.812029e-01	7.775171e-01	5.925880e-01	1.044133e+00	1.911951e+00	1.502794e+00	1.207754e+00	
YFL010C	6.023959e+00	2.272924e+00	2.563377e+00	2.189445e+00	2.107603e+00	2.139022e+00	2.871193e+00	4.865722e+00	7.840373e+00	5.177287e+00	4.926214e+00	4.210443e+00	
YFL014W	2.965351e+01	8.415136e+01	8.817660e+01	7.943644e+01	7.669273e+01	6.646061e+01	7.301532e+01	6.282690e+01	3.364022e+01	3.268051e+01	2.870572e+01	1.674980e+01	
YFL017C	3.492875e+00	4.038257e+00	2.263384e+00	2.737336e+00	2.134130e+00	2.231323e+00	2.111996e+00	2.284267e+00	2.001758e+00	2.539973e+00	4.027808e+00	3.331803e+00	
YFL021W	3.212954e+00	6.328882e+00	1.153996e+01	9.639538e+00	7.176232e+00	7.085167e+00	5.982646e+00	8.758008e+00	1.701906e+01	3.047640e+00	4.033061e+00	5.314171e+00	
YFL022C	1.441380e+00	6.756228e-01	7.841906e-01	9.684014e-01	1.113895e+00	1.226435e+00	1.414385e+00	6.245255e+00	6.791926e+00	3.584592e+00	3.285738e+00	3.551106e+00	
YFL024C	4.366079e-01	1.770739e+00	1.079882e+00	1.104743e+00	1.196509e+00	1.083271e+00	8.426347e-01	4.363843e-01	4.035460e-01	2.945926e-01	4.096604e-01	5.003364e-01	
YFL025C	1.808553e+00	1.057986e+00	8.724107e-01	8.486441e-01	1.030074e+00	1.152942e+00	1.251168e+00	1.239871e+00	1.992507e+00	2.265474e+00	1.940156e+00	1.766094e+00	
YFL027C	1.453562e+00	1.583377e+00	1.590806e+00	1.545187e+00	1.703555e+00	1.605371e+00	1.999059e+00	2.019235e+00	1.143669e+00	1.374011e+00	1.309125e+00	1.192504e+00	
YFL030W	4.398213e+01	3.807523e+01	2.376330e+01	2.214623e+01	1.898888e+01	1.899299e+01	2.123175e+01	1.686093e+01	1.688477e+01	2.612248e+01	3.178775e+01	2.904392e+01	
YFL033C	2.379044e+00	2.120293e+00	2.006355e+00	2.083839e+00	1.846745e+00	2.086689e+00	2.228560e+00	1.768782e+00	1.257444e+00	1.543262e+00	1.520673e+00	1.376028e+00	
YFL036W	7.484268e+00	5.094878e+00	3.484332e+00	3.696285e+00	3.273457e+00	3.559971e+00	3.402219e+00	3.366458e+00	4.571574e+00	6.191313e+00	5.866349e+00	5.530284e+00	
YFL037W	2.027410e+01	1.942357e+01	1.459989e+01	1.170645e+01	9.975497e+00	8.808403e+00	9.848784e+00	1.018361e+01	9.516254e+00	1.514789e+01	1.899142e+01	1.562143e+01	
YFL039C	5.395614e+01	5.263904e+01	5.210590e+01	4.706217e+01	4.677488e+01	4.229904e+01	4.576650e+01	4.195749e+01	4.171563e+01	3.989302e+01	4.135395e+01	3.628324e+01	
YFL041W	5.757489e+00	4.751061e+00	3.473195e+00	2.912366e+00	2.604172e+00	2.712365e+00	2.723684e+00	2.757446e+00	4.012623e+00	4.760865e+00	4.280625e+00	4.591082e+00	
YFL042C	9.799584e-01	1.302593e+00	1.279023e+00	1.267570e+00	1.024926e+00	1.010904e+00	9.231468e-01	5.066963e-01	5.903053e-01	7.530318e-01	6.370136e-01	6.089940e-01	
YFL045C	1.342153e+01	1.199819e+01	1.100541e+01	1.006389e+01	9.716143e+00	9.782516e+00	9.020678e+00	6.183775e+00	1.339315e+01	1.604821e+01	1.559777e+01	1.361117e+01	
YFL047W	2.028416e+00	1.179432e+00	1.427102e+00	1.456923e+00	1.448814e+00	1.615245e+00	1.794861e+00	1.759585e+00	2.489829e+00	2.159165e+00	2.308046e+00	2.052589e+00	
YFL052W	1.053275e+00	3.204415e-01	1.878607e-01	2.183178e-01	1.964911e-01	1.792276e-01	1.686462e-01	1.202257e-01	3.983568e-01	4.257550e-01	4.622188e-01	4.973295e-01	
YFL054C	3.590911e+00	2.703554e+00	1.961320e+00	2.414440e+00	1.930902e+00	2.054427e+00	1.835246e+00	1.344070e+00	1.989849e+00	1.827202e+00	1.562973e+00	1.410059e+00	
YFL056C	1.430690e-01	1.663694e-01	1.643879e-01	1.515281e-01	1.055736e-01	1.148659e-01	1.375938e-01	8.353331e-02	1.015193e-01	1.025316e-01	1.327292e-01	1.309246e-01	
YFL062W	8.657915e+00	1.120715e+01	8.837783e+00	9.897589e+00	1.204764e+01	1.027266e+01	8.252937e+00	3.464996e+00	4.495859e+00	6.560923e+00	6.450399e+00	5.076202e+00	
YFR003C	3.353170e+00	4.600232e+00	4.277248e+00	3.860644e+00	3.462605e+00	3.465536e+00	3.851308e+00	2.110454e+00	1.640738e+00	2.278040e+00	2.442055e+00	2.393064e+00	
YFR004W	9.875877e+00	1.515065e+01	1.374548e+01	1.115668e+01	1.274634e+01	1.088035e+01	1.120712e+01	9.703938e+00	8.906417e+00	8.972699e+00	9.068357e+00	8.251450e+00	
YFR008W	3.178573e-01	5.603402e-01	4.213861e-01	5.316085e-01	5.549244e-01	5.520267e-01	4.899214e-01	2.460828e-01	3.110049e-01	3.779221e-01	3.309171e-01	3.241879e-01	
YFR009W	2.391763e+00	2.215934e+00	1.804563e+00	2.122086e+00	2.175695e+00	2.091698e+00	2.274238e+00	5.086856e+00	6.176684e+00	3.737605e+00	3.177296e+00	3.609852e+00	
YFR011C	6.084559e+00	4.739985e+00	3.323836e+00	2.505041e+00	2.223192e+00	2.193214e+00	2.059687e+00	2.878356e+00	4.407477e+00	6.244979e+00	7.196466e+00	6.662109e+00	
YFR015C	5.231042e+00	8.160863e+00	3.344464e+00	3.848890e+00	2.488345e+00	2.308321e+00	1.732277e+00	7.458806e-01	9.393551e-01	1.116197e+00	1.157087e+00	1.517621e+00	
YFR016C	1.318620e+00	1.185247e+00	9.184205e-01	1.196121e+00	1.106267e+00	1.272241e+00	1.196309e+00	1.261960e+00	1.644565e+00	1.780863e+00	1.983111e+00	1.720124e+00	
YFR017C	9.150578e+00	1.589628e+01	1.399221e+01	1.275648e+01	1.067333e+01	1.128823e+01	9.968193e+00	3.791164e+00	4.668964e+00	4.711367e+00	4.194999e+00	4.025493e+00	
YFR019W	2.609029e+00	2.596165e+00	2.436696e+00	2.906555e+00	2.339899e+00	2.799003e+00	2.308378e+00	1.553219e+00	1.228969e+00	2.144529e+00	2.633485e+00	2.260067e+00	
YFR024C-A	4.956482e+00	5.220450e+00	4.188359e+00	3.694840e+00	3.348139e+00	3.801532e+00	3.744245e+00	2.962361e+00	2.765259e+00	3.772511e+00	3.774781e+00	3.592191e+00	
YFR026C	5.494646e-01	5.693083e-01	4.240357e-01	3.202738e-01	3.145683e-01	3.249611e-01	3.088096e-01	1.999881e-01	4.526434e-01	7.313243e-01	5.450072e-01	5.016193e-01	
YFR027W	9.011681e-01	8.487689e-01	5.568372e-01	6.899734e-01	7.531580e-01	7.668616e-01	6.996544e-01	3.910757e-01	9.503292e-01	1.219678e+00	1.032671e+00	1.104679e+00	
YFR028C	1.965979e+00	2.109162e+00	1.877876e+00	1.320564e+00	1.168922e+00	1.177957e+00	1.203412e+00	1.805573e+00	2.121488e+00	1.765741e+00	2.139283e+00	1.489339e+00	
YFR030W	1.367589e+01	4.173527e+00	5.202231e+00	5.415297e+00	5.825943e+00	6.334479e+00	7.840880e+00	1.193578e+01	1.687450e+01	1.355126e+01	1.470029e+01	1.184148e+01	
YFR031C	2.734343e+00	2.002514e+00	1.823422e+00	1.694279e+00	1.444568e+00	1.734352e+00	1.686371e+00	1.978117e+00	1.909862e+00	2.960721e+00	3.422173e+00	2.925080e+00	
YFR034C	2.243963e+00	1.324868e+00	1.690013e+00	1.380198e+00	1.490539e+00	1.315097e+00	1.842485e+00	3.108745e+00	2.747153e+00	2.300941e+00	2.199479e+00	2.090749e+00	
YFR036W	1.819401e+00	1.780981e+00	2.006983e+00	1.647450e+00	1.865353e+00	1.841031e+00	2.360913e+00	3.877230e+00	2.321625e+00	1.382621e+00	1.281888e+00	1.241504e+00	
YFR042W	1.458388e+00	1.652258e+00	1.393689e+00	1.356848e+00	1.396257e+00	1.444164e+00	1.281420e+00	1.168208e+00	1.909773e+00	2.627982e+00	2.239077e+00	1.595186e+00	
YFR044C	1.196330e+01	1.875350e+01	1.295347e+01	1.426484e+01	1.148975e+01	1.145683e+01	9.223516e+00	1.000156e+01	7.890478e+00	1.009892e+01	1.076325e+01	1.099842e+01	
YFR045W	2.728062e+00	2.701974e+00	1.412326e+00	1.711308e+00	1.276383e+00	1.317815e+00	1.209190e+00	7.969191e-01	1.633751e+00	2.566644e+00	2.358090e+00	2.251863e+00	
YFR046C	6.106420e-01	6.884526e-01	4.119561e-01	4.508040e-01	4.385359e-01	5.374876e-01	5.349868e-01	4.290180e-01	6.890671e-01	8.201473e-01	8.286497e-01	7.594230e-01	
YFR049W	1.330343e+01	1.215051e+01	1.092610e+01	9.975328e+00	9.022199e+00	8.631989e+00	7.379666e+00	5.369872e+00	7.564731e+00	1.105571e+01	1.217004e+01	1.120144e+01	
YFR050C	1.519359e+01	1.963951e+01	2.088485e+01	1.890801e+01	1.775877e+01	1.694356e+01	1.647998e+01	1.153573e+01	1.245835e+01	1.453898e+01	1.384179e+01	1.107337e+01	
YFR051C	6.033663e+00	4.655932e+00	4.008956e+00	3.486922e+00	2.878606e+00	2.976047e+00	3.176744e+00	3.466251e+00	6.271513e+00	6.132287e+00	6.726120e+00	5.109255e+00	
YFR053C	4.861395e+01	5.259607e+01	3.635245e+01	2.679964e+01	2.556687e+01	2.109385e+01	1.845639e+01	8.845797e+00	2.672218e+01	3.434785e+01	3.136361e+01	2.775955e+01	
YGL001C	7.652356e+00	4.853125e+00	3.635587e+00	2.943920e+00	2.814480e+00	2.716540e+00	2.717333e+00	3.382818e+00	5.973066e+00	6.161998e+00	6.753598e+00	6.154454e+00	
YGL006W	6.613662e+00	7.527029e+00	6.829985e+00	7.208104e+00	7.803236e+00	6.635598e+00	6.790517e+00	4.168653e+00	3.050855e+00	4.328302e+00	4.010198e+00	3.812415e+00	
YGL008C	2.304397e+01	1.142754e+01	1.292790e+01	1.567882e+01	1.125815e+01	1.061608e+01	1.401010e+01	2.567491e+01	2.752420e+01	2.075409e+01	2.327562e+01	2.119652e+01	
YGL009C	1.196401e+01	5.543245e+00	3.963802e+00	5.011226e+00	4.456756e+00	3.755209e+00	4.094889e+00	1.204381e+01	1.680136e+01	1.378235e+01	1.533243e+01	1.240102e+01	
YGL010W	1.930137e+00	4.923826e+00	3.912646e+00	4.808739e+00	4.564677e+00	4.026781e+00	4.375506e+00	1.601715e+00	2.268394e+00	1.692875e+00	1.569158e+00	1.448669e+00	
YGL012W	9.728109e+00	3.699757e+00	1.716698e+00	1.878131e+00	1.371196e+00	1.381401e+00	2.210518e+00	6.577872e+00	1.915992e+01	1.611748e+01	1.314720e+01	1.069219e+01	
YGL016W	1.249531e+00	9.200046e-01	6.324287e-01	6.718183e-01	7.666313e-01	7.227721e-01	8.254625e-01	4.745453e-01	1.387263e+00	9.920053e-01	8.861553e-01	1.033165e+00	
YGL017W	8.955467e-01	1.175964e+00	1.098647e+00	1.156548e+00	1.313871e+00	1.282880e+00	1.626569e+00	1.799418e+00	7.007828e-01	7.403391e-01	7.024606e-01	7.258746e-01	
YGL021W	2.861493e+00	3.033550e+00	2.545611e+00	1.619343e+00	9.531651e-01	5.956468e-01	4.824947e-01	4.945569e-01	2.045215e-01	4.339662e-01	1.012823e+00	1.905682e+00	
YGL022W	6.041832e+00	4.482749e+00	3.799198e+00	3.656789e+00	3.313558e+00	2.958683e+00	3.819688e+00	4.008576e+00	3.886046e+00	6.169915e+00	5.954608e+00	4.859310e+00	
YGL027C	3.556696e+00	1.951366e+00	1.868951e+00	1.631428e+00	1.980683e+00	1.635213e+00	1.869296e+00	1.711653e+00	1.940804e+00	4.433395e+00	3.833108e+00	2.840592e+00	
YGL028C	4.986849e-01	3.411506e+00	8.379543e+00	6.620601e+00	5.653265e+00	4.543152e+00	2.574126e+00	2.071585e+00	8.335268e-01	4.603302e-01	5.597239e-01	3.621265e-01	
YGL032C	3.017631e-01	3.231149e-01	3.006559e-01	3.143790e-01	3.548466e-01	5.532346e-01	3.994025e-01	2.368678e-01	1.532233e-01	1.721405e-01	2.112755e-01	1.674869e-01	
YGL035C	1.984360e+00	2.054958e+00	1.764267e+00	1.392794e+00	1.376885e+00	1.573835e+00	1.801903e+00	1.280071e+00	1.235833e+00	7.958186e-01	8.742864e-01	8.826338e-01	
YGL036W	9.382258e-01	1.710457e+00	1.473898e+00	1.471940e+00	1.345027e+00	1.480994e+00	1.428192e+00	8.584408e-01	1.120237e+00	8.313007e-01	8.770155e-01	6.644349e-01	
YGL037C	1.941669e+01	3.052555e+01	2.941854e+01	3.003152e+01	2.992541e+01	3.071786e+01	2.935666e+01	1.317988e+01	1.462980e+01	1.560504e+01	1.137095e+01	8.983640e+00	
YGL040C	1.113375e+01	3.928863e+00	2.410838e+00	2.597991e+00	2.677087e+00	2.395379e+00	2.744251e+00	2.743737e+00	5.586342e+00	8.481151e+00	9.936695e+00	7.931170e+00	
YGL044C	5.039778e-01	1.003274e+00	8.069425e-01	9.953401e-01	1.114644e+00	1.059177e+00	1.142804e+00	1.289811e+00	1.848229e+00	9.862129e-01	1.029691e+00	1.098433e+00	
YGL047W	1.025591e+00	1.375633e+00	1.562024e+00	1.528267e+00	1.488511e+00	1.531208e+00	1.909598e+00	1.136014e+00	7.830071e-01	1.144303e+00	8.421524e-01	6.622845e-01	
YGL049C	9.322262e-01	7.503167e-01	6.071629e-01	5.034574e-01	5.350611e-01	4.698346e-01	5.910172e-01	9.248595e-01	9.796389e-01	9.951659e-01	9.336912e-01	9.243739e-01	
YGL051W	2.157119e+00	2.172127e+00	1.253507e+00	1.474366e+00	1.752900e+00	1.556918e+00	1.878137e+00	1.625422e+00	1.191424e+00	1.219929e+00	1.206239e+00	1.060672e+00	
YGL053W	2.939221e+00	3.762242e+00	2.855961e+00	2.717138e+00	3.107749e+00	2.625198e+00	2.750483e+00	1.424583e+00	1.341455e+00	2.110548e+00	1.845875e+00	1.475344e+00	
YGL055W	2.862612e+01	3.829475e+01	3.388921e+01	2.999918e+01	2.954802e+01	2.643409e+01	3.138158e+01	2.508083e+01	1.877728e+01	2.760828e+01	2.913510e+01	2.156995e+01	
YGL061C	7.151916e-01	4.909888e-01	4.326538e-01	3.358442e-01	4.251864e-01	4.250904e-01	4.889871e-01	5.808746e-01	7.442426e-01	1.205675e+00	1.407538e+00	9.582194e-01	
YGL062W	3.710501e+01	1.833249e+01	1.159440e+01	9.898185e+00	9.905921e+00	9.905396e+00	9.808067e+00	9.387345e+00	1.945239e+01	2.422502e+01	2.971072e+01	2.805222e+01	
YGL063W	1.032855e+00	5.591323e-01	4.601564e-01	4.266898e-01	4.179128e-01	4.599028e-01	5.062534e-01	5.440815e-01	1.061709e+00	7.235287e-01	8.319803e-01	7.812412e-01	
YGL064C	1.776011e+00	5.711728e-01	3.938728e-01	3.208999e-01	2.959812e-01	4.518933e-01	5.139976e-01	7.707220e-01	1.473851e+00	1.470828e+00	1.713023e+00	1.733015e+00	
YGL065C	3.370807e+00	2.331628e+00	2.265037e+00	1.922227e+00	1.580436e+00	1.852139e+00	2.120683e+00	1.799818e+00	2.476339e+00	2.868180e+00	3.099306e+00	2.621056e+00	
YGL068W	1.636670e+01	7.280086e+00	2.569794e+00	2.002180e+00	1.802949e+00	1.734864e+00	1.535131e+00	1.777072e+00	4.152790e+00	9.735942e+00	1.332088e+01	1.158200e+01	
YGL071W	1.198016e+00	7.509815e-01	8.165966e-01	7.506732e-01	6.736673e-01	6.691584e-01	8.141283e-01	8.328064e-01	1.333803e+00	1.184621e+00	1.360725e+00	1.146923e+00	
YGL073W	3.614312e+00	4.776188e+00	4.998227e+00	4.773739e+00	5.054083e+00	4.763347e+00	5.519451e+00	3.533422e+00	3.416543e+00	3.324590e+00	3.111948e+00	2.327751e+00	
YGL079W	1.725193e+00	1.664196e+00	1.941878e+00	2.014664e+00	1.912148e+00	2.181885e+00	3.024005e+00	2.248635e+00	1.861930e+00	2.238062e+00	1.862434e+00	1.433188e+00	
YGL081W	6.208416e-01	1.001614e+00	6.479084e-01	9.106560e-01	1.181027e+00	1.072320e+00	1.262010e+00	6.692664e-01	2.595051e-01	3.380469e-01	3.569809e-01	2.688873e-01	
YGL084C	4.799030e+00	4.560934e+00	3.160374e+00	3.685874e+00	3.684351e+00	3.475612e+00	3.628222e+00	2.137111e+00	2.519116e+00	4.353814e+00	4.231684e+00	3.943208e+00	
YGL087C	5.096140e+00	5.609349e+00	5.262109e+00	4.901749e+00	5.033933e+00	4.929751e+00	5.480640e+00	4.520507e+00	3.611696e+00	4.059596e+00	4.282979e+00	3.642067e+00	
YGL090W	2.484795e-01	1.627617e-01	2.248724e-01	2.365215e-01	2.684709e-01	2.875680e-01	3.347538e-01	4.065829e-01	2.113029e-01	2.892614e-01	2.362896e-01	2.298059e-01	
YGL092W	2.515146e+00	1.596778e+00	1.439481e+00	1.293794e+00	1.246507e+00	1.278206e+00	1.420516e+00	2.255378e+00	2.191950e+00	2.015634e+00	2.442180e+00	2.498966e+00	
YGL093W	4.904216e+00	4.960291e+00	3.963126e+00	4.228685e+00	4.059956e+00	3.961287e+00	3.480215e+00	2.994274e+00	2.431158e+00	4.989242e+00	5.551086e+00	4.567340e+00	
YGL096W	3.156654e+00	7.535553e+00	6.021217e+00	6.091084e+00	6.152962e+00	6.525861e+00	5.709801e+00	4.576743e+00	2.588326e+00	2.863360e+00	2.669480e+00	2.955667e+00	
YGL097W	4.830640e+00	2.481069e+00	2.489141e+00	1.874631e+00	1.575143e+00	1.723111e+00	2.063758e+00	5.529887e+00	6.117386e+00	4.175715e+00	4.639630e+00	4.417723e+00	
YGL098W	6.834299e-01	4.648142e-01	4.890735e-01	5.493388e-01	4.552334e-01	7.067713e-01	5.921199e-01	6.254351e-01	9.140106e-01	7.415894e-01	7.082204e-01	6.443733e-01	
YGL104C	7.047822e-01	7.730194e-01	6.681666e-01	7.738432e-01	7.169877e-01	8.347428e-01	7.910791e-01	5.024614e-01	2.736125e-01	5.324648e-01	5.127573e-01	2.934480e-01	
YGL115W	4.592294e+00	3.344201e+00	2.344893e+00	2.074875e+00	2.143521e+00	2.044008e+00	2.200636e+00	1.760413e+00	2.835114e+00	3.363132e+00	3.564537e+00	3.914237e+00	
YGL116W	1.880222e+00	3.070109e+00	2.118614e+00	1.813844e+00	1.427972e+00	1.101794e+00	1.306512e+00	7.021774e-01	5.387829e-01	6.212562e-01	6.516931e-01	9.296474e-01	
YGL117W	3.670362e+00	4.104792e+00	3.075476e+00	3.195218e+00	4.427134e+00	5.714105e+00	6.487123e+00	3.117223e+00	1.262868e+00	2.782055e+00	3.009062e+00	2.745584e+00	
YGL120C	1.213197e+00	6.886907e-01	1.470632e+00	1.314377e+00	1.357970e+00	1.788025e+00	3.003259e+00	1.587596e+01	5.783736e+00	1.613966e+00	2.623614e+00	2.652962e+00	
YGL121C	6.937910e+00	1.082385e+01	1.135665e+01	1.344123e+01	1.508372e+01	1.505797e+01	1.601934e+01	1.285299e+01	5.192241e+00	7.687644e+00	6.223165e+00	3.792622e+00	
YGL126W	5.267529e+00	6.810441e+00	6.444197e+00	4.873900e+00	5.220723e+00	4.447181e+00	5.102378e+00	4.925149e+00	3.145943e+00	4.553056e+00	3.825985e+00	3.001719e+00	
YGL129C	1.994874e+00	1.131412e+00	5.651795e-01	5.864836e-01	4.059866e-01	4.879211e-01	3.861845e-01	4.893689e-01	7.815474e-01	1.823000e+00	2.070493e+00	1.741936e+00	
YGL131C	1.339523e+00	5.770102e-01	8.737185e-01	9.641860e-01	6.351058e-01	9.242741e-01	8.990334e-01	1.138333e+00	9.710007e-01	1.010148e+00	9.462266e-01	8.348993e-01	
YGL132W	2.160489e-01	2.223052e-01	2.244354e-01	1.797734e-01	2.207447e-01	1.784240e-01	2.109109e-01	1.873669e-01	1.493666e-01	1.877154e-01	1.476785e-01	9.166316e-02	
YGL133W	1.579281e+00	1.249394e+00	1.401461e+00	1.520345e+00	1.539927e+00	1.703607e+00	1.822060e+00	2.503884e+00	1.550751e+00	1.587555e+00	1.653455e+00	1.480377e+00	
YGL137W	5.291884e+00	4.769004e+00	4.380797e+00	4.179116e+00	3.976989e+00	3.774797e+00	3.771280e+00	3.351401e+00	3.964339e+00	4.970978e+00	5.192461e+00	4.560579e+00	
YGL141W	1.218963e+00	1.378792e+00	1.439846e+00	1.721302e+00	1.514830e+00	1.716197e+00	1.644922e+00	1.085599e+00	1.137204e+00	1.087401e+00	9.702910e-01	9.552070e-01	
YGL143C	2.303614e+00	1.614709e+00	6.719130e-01	8.090633e-01	7.458027e-01	6.982811e-01	6.076376e-01	6.765325e-01	1.688433e+00	2.873815e+00	3.680662e+00	3.418732e+00	
YGL151W	6.421112e-01	9.158019e-01	5.514019e-01	6.293650e-01	6.253179e-01	7.411872e-01	7.087330e-01	4.239294e-01	5.656972e-01	7.819904e-01	6.955190e-01	8.198325e-01	
YGL153W	6.128695e+00	6.618464e+00	4.244978e+00	4.070827e+00	4.211540e+00	3.879202e+00	4.474763e+00	2.849819e+00	2.478271e+00	2.408706e+00	2.630976e+00	2.611023e+00	
YGL154C	9.119147e+00	1.123066e+01	9.063062e+00	6.699323e+00	7.958815e+00	7.441304e+00	8.658094e+00	3.859652e+00	2.737061e+00	3.269473e+00	3.285342e+00	3.202692e+00	
YGL155W	1.148097e+00	7.540514e-01	8.460278e-01	7.997723e-01	6.697902e-01	6.894432e-01	9.057319e-01	1.016933e+00	8.092748e-01	1.068944e+00	1.182204e+00	8.947172e-01	
YGL156W	6.135527e+00	1.364634e+01	1.241689e+01	1.147099e+01	1.200605e+01	1.040177e+01	1.136448e+01	6.556772e+00	2.008452e+00	4.042056e+00	3.552660e+00	2.684210e+00	
YGL161C	1.100276e+01	9.993256e+00	8.905083e+00	8.744316e+00	8.843669e+00	8.767375e+00	8.058598e+00	4.937788e+00	4.771544e+00	7.454709e+00	7.054672e+00	6.228950e+00	
YGL170C	1.989078e-01	2.406600e-01	2.961511e-01	2.518232e-01	3.018247e-01	2.972252e-01	1.816314e-01	1.072514e-01	8.386764e-02	1.712690e-01	1.815246e-01	1.268653e-01	
YGL172W	6.117265e+00	5.129692e+00	5.532258e+00	4.443242e+00	4.335160e+00	4.597908e+00	5.482676e+00	5.339753e+00	7.312439e+00	5.353971e+00	5.675140e+00	4.527782e+00	
YGL174W	8.224039e-01	6.268710e-01	5.636292e-01	6.476110e-01	6.370151e-01	7.071588e-01	7.761478e-01	9.998672e-01	1.395036e+00	1.143411e+00	1.028226e+00	7.442286e-01	
YGL177W	1.812800e-01	2.237649e-01	2.773385e-01	1.698727e-01	2.779080e-01	2.030408e-01	2.336555e-01	4.232650e-01	5.460091e-01	3.408077e-01	2.818644e-01	2.894037e-01	
YGL178W	2.484109e+00	2.464790e+00	1.917784e+00	2.387045e+00	2.521340e+00	2.476238e+00	2.374085e+00	5.102829e+00	5.275650e+00	3.535682e+00	3.244330e+00	2.680211e+00	
YGL179C	5.843588e-01	7.218885e-01	4.034790e-01	2.845652e-01	3.172859e-01	2.665466e-01	3.066054e-01	2.172571e-01	3.736994e-01	4.107203e-01	4.226862e-01	3.338889e-01	
YGL180W	1.506774e+00	2.286265e+00	2.904602e+00	3.577373e+00	3.868158e+00	4.739513e+00	5.752814e+00	2.488832e+00	1.714732e+00	1.803503e+00	1.766877e+00	1.282606e+00	
YGL184C	2.776786e+00	2.264673e+00	4.043622e+00	5.434190e+00	6.333182e+00	7.830998e+00	1.125097e+01	8.712612e+00	8.694677e+00	2.993432e+00	3.353297e+00	2.858982e+00	
YGL187C	3.041268e+01	2.587428e+01	2.193058e+01	1.819206e+01	1.986406e+01	1.704696e+01	1.928745e+01	1.482545e+01	1.772752e+01	2.105846e+01	2.278987e+01	2.244166e+01	
YGL190C	9.284769e-01	1.255257e+00	1.296854e+00	1.166421e+00	1.268871e+00	1.276335e+00	1.214165e+00	7.832975e-01	6.712299e-01	9.128203e-01	8.624884e-01	7.646994e-01	
YGL192W	9.027847e-01	1.121984e+00	1.071342e+00	1.099424e+00	1.012669e+00	9.679916e-01	9.228210e-01	5.573939e-01	7.245555e-01	6.706045e-01	7.617826e-01	6.976269e-01	
YGL195W	2.930304e+00	1.933793e+00	1.755576e+00	1.752069e+00	1.675552e+00	1.727620e+00	1.565598e+00	2.117114e+00	4.123005e+00	3.173414e+00	2.745895e+00	2.486777e+00	
YGL197W	2.338471e+00	2.720807e+00	2.291207e+00	2.750239e+00	2.228425e+00	2.547721e+00	2.364268e+00	1.692399e+00	1.348627e+00	1.982031e+00	1.660976e+00	1.652591e+00	
YGL200C	1.987028e+01	1.364282e+01	1.091664e+01	9.303512e+00	8.985141e+00	8.859595e+00	9.220700e+00	8.301941e+00	1.439698e+01	2.066772e+01	1.915572e+01	1.460200e+01	
YGL201C	3.824171e-01	3.880107e-01	4.379372e-01	4.368946e-01	4.653317e-01	4.030257e-01	4.632853e-01	5.127016e-01	8.125073e-01	4.867058e-01	3.950483e-01	2.925001e-01	
YGL202W	1.225256e+01	4.979731e+00	6.159934e+00	5.876555e+00	6.436404e+00	6.756630e+00	1.009101e+01	1.553066e+01	1.956153e+01	1.262684e+01	1.175699e+01	9.561990e+00	
YGL205W	1.154726e+01	1.996246e+01	1.394922e+01	1.130739e+01	1.011397e+01	9.249591e+00	8.146939e+00	4.078735e+00	5.955321e-01	3.050647e-01	1.051582e+00	2.096976e+00	
YGL206C	9.430380e+00	9.259090e+00	7.326832e+00	7.707606e+00	7.403466e+00	6.765141e+00	6.604537e+00	5.503191e+00	5.169519e+00	7.351978e+00	7.628957e+00	6.627693e+00	
YGL208W	3.076832e+00	2.804745e+00	1.838794e+00	2.243116e+00	1.717292e+00	1.652921e+00	1.657620e+00	6.021091e-01	1.437292e+00	1.705424e+00	1.414475e+00	1.111756e+00	
YGL225W	6.467966e+00	3.611455e+00	3.336917e+00	3.308489e+00	2.818532e+00	3.039498e+00	3.555955e+00	9.898232e+00	1.026636e+01	1.185464e+01	1.192419e+01	8.247060e+00	
YGL226W	3.535785e+00	2.113613e+00	1.720861e+00	1.368708e+00	1.328917e+00	1.349461e+00	1.329492e+00	1.067736e+00	1.993077e+00	3.100684e+00	2.955139e+00	2.589866e+00	
