probeset	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12
YAR018C	4.578973e-01	9.401869e-01	8.084558e-01	7.105866e-01	4.179144e-01	2.127455e-01	2.047678e-01	2.577354e-01	2.190672e-01	1.227513e-01	1.136666e-01	2.307376e-01	
YAR031W	1.421442e+00	2.327425e+00	1.451220e+00	1.402292e+00	1.305763e+00	1.078403e+00	1.054874e+00	7.115647e-01	8.314751e-01	9.145065e-01	7.430587e-01	7.060157e-01	
YAR035W	2.451016e+01	3.370705e+01	3.343117e+01	1.832079e+01	1.885835e+01	1.535655e+01	1.281487e+01	5.539961e+00	5.351507e+00	6.811256e+00	7.805742e+00	6.776827e+00	
YAR073W	1.003646e+00	6.510151e-01	5.270155e-01	5.329907e-01	4.201100e-01	4.379793e-01	5.077254e-01	1.049501e+00	2.016633e+00	1.050365e+00	1.089958e+00	1.028662e+00	
YBL002W	1.264014e+01	1.386759e+01	5.087941e+00	1.773233e+00	6.223550e-01	6.013669e-01	8.020400e-01	2.108710e+00	3.841361e+00	1.381958e+01	1.946503e+01	1.702833e+01	
YBL003C	3.240627e+01	4.076559e+01	3.264820e+01	2.767641e+01	2.473547e+01	2.619933e+01	2.557481e+01	1.829473e+01	1.310511e+01	2.890876e+01	3.764299e+01	3.145860e+01	
YBL004W	1.116935e+00	5.823798e-01	1.005122e+00	1.093656e+00	9.565854e-01	1.297606e+00	1.303146e+00	3.027476e+00	4.188883e+00	1.274524e+00	1.476142e+00	1.974108e+00	
YBL006C	1.541326e+00	1.545103e+00	1.931093e+00	1.817499e+00	1.736365e+00	1.886576e+00	2.010816e+00	1.808818e+00	2.002943e+00	1.472419e+00	1.498337e+00	1.451730e+00	
YBL007C	4.929608e+00	6.785742e+00	6.989942e+00	6.158145e+00	5.395709e+00	5.304019e+00	5.007896e+00	3.548771e+00	3.616092e+00	4.180803e+00	4.137962e+00	4.346056e+00	
YBL008W	6.964973e-01	4.582537e-01	5.387421e-01	6.127257e-01	5.617565e-01	5.949183e-01	5.363737e-01	7.993470e-01	8.488317e-01	9.012029e-01	9.046039e-01	9.073547e-01	
YBL015W	3.979042e+01	2.344337e+01	2.123580e+01	1.298661e+01	9.633249e+00	8.329682e+00	7.163944e+00	5.424479e+00	1.563783e+01	2.151848e+01	2.714218e+01	2.442032e+01	
YBL021C	2.685622e+00	1.623555e+00	1.613173e+00	1.492778e+00	1.398139e+00	1.333519e+00	1.441612e+00	1.311786e+00	3.737509e+00	2.844993e+00	2.681536e+00	3.032985e+00	
YBL022C	1.495051e+01	1.367726e+01	1.076629e+01	1.026524e+01	1.048883e+01	9.866003e+00	1.081551e+01	6.875429e+00	1.068711e+01	1.476669e+01	1.435219e+01	1.466085e+01	
YBL023C	1.518922e+00	1.716071e+00	1.665853e+00	1.852362e+00	1.541506e+00	1.664195e+00	1.555398e+00	1.980883e+00	4.386643e+00	2.488285e+00	1.293639e+00	1.576700e+00	
YBL026W	5.437236e-01	4.839894e-01	4.438367e-01	5.062551e-01	5.987597e-01	5.806608e-01	3.768161e-01	5.721409e-01	6.242074e-01	6.487018e-01	7.447543e-01	8.289943e-01	
